Expedient;Vista original;Lots oficials;Imports i adjudicatari coincideixen;Font
2026/0018988;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/161a2811-2760-416f-a871-a4850cc472f9/300842889
8004330008-2026-0009721;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/43a9933d-1f3e-4c0c-97bb-cad1cb4e617b/300871456
2024/0009036;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/3e4386c7-ffee-4f43-9d4c-1fb6c346ecf6/300280939
2026/3023-G626_1;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/f16fb52c-056d-44b3-ac58-fcff5b7269da/300870735
2026/980;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/7a054497-0437-43ad-b6ac-c97cefa7896c/300873659
2026/10128;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/57528ddb-ab94-49fd-8152-1bcb69c76947/300874026
001_26002403;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/f9b47b31-830d-427f-904f-2cc8a71800da/300862903
TIC/2026/32;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/bad66a57-c3ed-4b8d-af7e-951ef3ca3487/300871362
13449/2026;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/7fdaf0f7-e253-4f97-b59a-ef3991ad2968/300874890
001_26003814;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/d049e3e2-07a9-4397-8dd3-9bd43ce7252a/300874754
2026-SE-OH-23;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/2ed80e6e-c984-4d8d-8b12-078d35af7fb7/300863999
B3202026000093;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/ac4c3dbf-03d1-470e-a21a-de4b9014551e/300866260
2026/8618;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/efbba8d5-115c-4ce5-9e6b-1a200716e7c7/300874745
2026/6382/1437;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/723608e6-ad14-449a-b866-03941e4b49ee/300845955
2026/16275;openLocal;1,2,3,4;True;https://contractaciopublica.cat/ca/detall-publicacio/079211fb-19a0-46de-ba4f-fe4209e9ac13/300865609
2025/0034354;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/5cc84135-1fd6-4790-a513-508d0f6589e1/300873428
2026/0013012;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/32194f1a-d44f-48ba-9c83-8ff1c4d623c5/300849044
2026/0002512;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/8fa3df4c-0d04-4750-9d5f-15377978990c/300845925
6/2026/CSOH;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/59945a9d-50f3-481f-a8c0-fcdb786e38b9/300866589
1403-000063-005079/2026;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/59fa0769-b657-4ca8-b1f9-b24111243973/300849320
2026/124-4955_;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/65e6f43b-e743-48a4-a153-e1da0a6ec7c4/300872413
001_26003376;openLocal;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/dfff1254-d97d-4a73-abe7-9376c7c21724/300873384
2025/0041420;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/d9b8705f-b372-4717-b1ed-6a36b9e46d77/300855049
2026/0010049;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/77399721-d853-4ad3-a192-11834819b6ec/300855138
2026/0011669;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/fdf657a8-3bde-46d8-afbd-547e036b8afb/300855977
2026/0009230;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/25719715-4e4a-4d27-97a6-dc3496cce87b/300856840
116/2023 - 19598/2023;openLocal;1,2,3;True;https://contractaciopublica.cat/ca/detall-publicacio/4a06eb97-a64a-4634-b374-6ccbc59b6c1e/300592079
114/2023 - 28409/2023;openLocal;1,2,3,4;True;https://contractaciopublica.cat/ca/detall-publicacio/e3163669-1fb2-4dea-ad21-dea35596379d/300109466
2024/0027829;openLocal;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/8db0929f-11f4-4036-bba6-c8fe0678d89e/300586071
3679/2025;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/90a02050-4257-455d-812a-7f24817d0a80/300790393
2025/65-3302;openLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/2d7be9b9-f9da-4621-b874-b50ee8f16108/300872262
4025/2026;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/16f4496e-f6b5-49d9-97e2-241dabdd6e16/300875297
4984/2026;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/9451214a-8569-4e50-af0c-882bb4ac4bd5/300875006
2026/0012439;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/b3858737-5576-4b41-ada2-dd511540526c/300873782
PACC2026000025;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/3a3b51a7-b8b6-42cd-bf76-52da325e0934/300874515
2026039562;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/904ddbcf-d625-4938-a7ae-209b06ed4043/300874166
PACC2026000044;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/ef2a1e13-7bb0-4f11-b07b-51215ab913c7/300873401
001_26001950;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/f2321074-8e26-4024-8aaf-22af7b4d03a5/300823515
X2026001899;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/cd35897c-67a8-4bd0-a4e1-4376b7e72b65/300873111
2026F035000006;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/4536776a-09a8-478b-a2a5-aabb4c94bb27/300873081
2026/13849H;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/2a1f05fa-b50d-42ad-bd74-8335bf51158e/300871137
CONSUB-0212/2026;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/2a060f65-4493-4132-9d25-f09314fcd382/300871745
1657-2876/2020;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/9e2f5383-9761-40eb-9c98-8e5769de14a9/300871511
1657-003439-003506/2020;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/07be2227-96ad-4fda-95ea-2263ad42cf39/300871485
1411-000049-010313/2022;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/db4539b0-237f-590c-e8fc-7873bb344772/300871297
3029/2026;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/f96d55ef-3807-4507-85d2-6a8876baefcd/300870792
2024 2691;adjLocal;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/ef4d2401-51da-47b1-aef0-acd42308780e/300870025
B3202026000064;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/6fb0a967-75cd-4cb8-8936-7955ea0195ef/300869522
353/26 G626;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/67f10846-51f3-4fba-8f07-912c1b5db72e/300869542
B3202026000065;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/b02a7546-b245-4c2a-9af3-2fc61de92aed/300869460
X2026000638;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/b8d025a5-e03b-40b7-98cb-c4bb88790490/300869105
33/2026;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/c0b57bfe-d593-468e-a8db-be3d40f6901a/300867928
2026F038000006;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/c85a61e4-9743-4787-adbb-b641ab20c3aa/300867458
160/2026;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/4403677e-d3de-4355-90fc-e7be4505253f/300867408
15/2026/eCONT;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/b8ec0e1d-ca8b-40f1-8c47-25bb9b834c1c/300866661
G4882026000388;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/4c8791fa-1179-4e4b-8737-0d7922705809/300866398
G4882026000394;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/73f0f1da-2ebe-4126-8e2f-92604839005e/300866210
001_26000232;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/9ec36e16-4740-4615-a8fd-27b96559bfa2/300866068
G4882026000412;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/659c8040-3a09-4e57-bfb4-08798a291a73/300866178
G4882026000427;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/201005d7-e1a6-47c0-b518-0c7ee2a48a7a/300866093
CONT2200220;adjLocal;,1;True;https://contractaciopublica.cat/ca/detall-publicacio/6e774e8c-5635-4b1e-b4c0-3fc8a27b596d/300865722
2025/000855;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/f609caab-2fac-4b12-b169-f231fbf2b051/300865070
CON.EXP2026000043;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/9e53d9bf-cc3e-497f-86cf-2cb3aef2b5a2/300862888
2026F040000001;adjLocal;1,2,3,4;True;https://contractaciopublica.cat/ca/detall-publicacio/523b7e90-c3d9-429f-a3bf-58a7328f33c8/300864577
25129/2026;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/25e91c2d-839b-4d70-97a4-1bec3c6bc6e8/300864155
26-074;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/e4f7f4f1-0dda-468a-ab19-c938d555ac78/300864074
2026-CBSU0003;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/9cca1116-5d1e-47a1-866d-22196af62ed8/300864016
2026/7247;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/1e9831cf-5e6a-4336-987d-fcf726662940/300863686
430252002-2026-0000643;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/20844f2a-40f2-4a40-b456-8f417f5a8dc1/300863718
AAMU-05977/2025;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/f62f25a8-331b-44bb-a47f-d0e97d11fb93/300857116
G4882026000304;adjLocal;;True;https://contractaciopublica.cat/ca/detall-publicacio/a605573b-32b2-4886-a64d-b4563b55c453/300863242
